0|0.514| 1:0.400  2:0.500  3:0.509  4:0.509  5:0.512  6:0.509  7:0.518  8:0.515  9:0.514 10:0.501 11:0.516 12:0.514 13:0.518 14:0.446 15:0.489 16:0.438 
500|0.956| 1:0.400  2:0.938  3:0.948  4:0.961  5:0.964  6:0.957  7:0.956  8:0.961  9:0.960 10:0.965 11:0.961 12:0.966 13:0.944 14:0.906 15:0.881 16:0.875 
1000|0.950| 1:0.400  2:0.922  3:0.946  4:0.945  5:0.950  6:0.952  7:0.956  8:0.952  9:0.955 10:0.959 11:0.957 12:0.958 13:0.960 14:0.883 15:0.889 16:0.891 
1500|0.958| 1:0.400  2:0.953  3:0.961  4:0.949  5:0.963  6:0.958  7:0.960  8:0.956  9:0.964 10:0.958 11:0.960 12:0.954 13:0.969 14:0.906 15:0.874 16:0.828 
2000|0.962| 1:0.400  2:0.953  3:0.944  4:0.959  5:0.965  6:0.966  7:0.964  8:0.966  9:0.960 10:0.958 11:0.972 12:0.968 13:0.975 14:0.929 15:0.919 16:0.906 
2500|0.964| 1:0.400  2:0.953  3:0.958  4:0.965  5:0.963  6:0.967  7:0.965  8:0.971  9:0.968 10:0.963 11:0.967 12:0.970 13:0.967 14:0.911 15:0.844 16:0.891 
3000|0.957| 1:0.400  2:0.961  3:0.963  4:0.947  5:0.952  6:0.956  7:0.962  8:0.960  9:0.964 10:0.963 11:0.965 12:0.956 13:0.958 14:0.921 15:0.852 16:0.859 
3500|0.958| 1:0.400  2:0.953  3:0.963  4:0.962  5:0.957  6:0.955  7:0.960  8:0.963  9:0.957 10:0.958 11:0.964 12:0.972 13:0.965 14:0.898 15:0.896 16:0.859 
4000|0.961| 1:0.400  2:0.922  3:0.949  4:0.959  5:0.958  6:0.967  7:0.964  8:0.963  9:0.965 10:0.964 11:0.967 12:0.967 13:0.971 14:0.929 15:0.881 16:0.891 
4500|0.955| 1:0.400  2:0.977  3:0.957  4:0.948  5:0.955  6:0.958  7:0.949  8:0.957  9:0.960 10:0.958 11:0.961 12:0.969 13:0.962 14:0.926 15:0.844 16:0.875 
5000|0.957| 1:0.400  2:0.961  3:0.948  4:0.956  5:0.958  6:0.953  7:0.959  8:0.959  9:0.960 10:0.961 11:0.960 12:0.956 13:0.975 14:0.923 15:0.837 16:0.859 
5500|0.963| 1:0.400  2:0.969  3:0.957  4:0.968  5:0.963  6:0.965  7:0.963  8:0.962  9:0.969 10:0.960 11:0.970 12:0.962 13:0.974 14:0.931 15:0.867 16:0.844 
6000|0.962| 1:0.400  2:0.945  3:0.960  4:0.968  5:0.962  6:0.962  7:0.965  8:0.969  9:0.969 10:0.969 11:0.965 12:0.956 13:0.975 14:0.913 15:0.852 16:0.922 
6500|0.960| 1:0.400  2:0.984  3:0.961  4:0.953  5:0.955  6:0.959  7:0.957  8:0.968  9:0.961 10:0.963 11:0.969 12:0.970 13:0.965 14:0.911 15:0.852 16:0.891 
7000|0.965| 1:0.400  2:0.906  3:0.971  4:0.961  5:0.966  6:0.964  7:0.970  8:0.966  9:0.970 10:0.968 11:0.959 12:0.966 13:0.973 14:0.934 15:0.837 16:0.859 
7500|0.962| 1:0.400  2:0.953  3:0.957  4:0.961  5:0.967  6:0.966  7:0.962  8:0.964  9:0.964 10:0.964 11:0.964 12:0.965 13:0.978 14:0.908 15:0.859 16:0.906 
8000|0.962| 1:0.400  2:0.906  3:0.969  4:0.963  5:0.961  6:0.963  7:0.964  8:0.966  9:0.964 10:0.958 11:0.970 12:0.966 13:0.974 14:0.916 15:0.852 16:0.906 
8500|0.963| 1:0.400  2:0.961  3:0.960  4:0.962  5:0.962  6:0.961  7:0.967  8:0.970  9:0.965 10:0.964 11:0.965 12:0.978 13:0.969 14:0.901 15:0.837 16:0.875 
9000|0.955| 1:0.400  2:0.945  3:0.944  4:0.959  5:0.952  6:0.959  7:0.955  8:0.953  9:0.959 10:0.962 11:0.959 12:0.957 13:0.963 14:0.898 15:0.859 16:0.812 
9500|0.960| 1:0.400  2:0.969  3:0.969  4:0.963  5:0.958  6:0.966  7:0.957  8:0.966  9:0.963 10:0.957 11:0.965 12:0.963 13:0.971 14:0.911 15:0.889 16:0.891 
10000|0.969| 1:0.400  2:0.961  3:0.974  4:0.965  5:0.965  6:0.968  7:0.972  8:0.968  9:0.973 10:0.972 11:0.971 12:0.975 13:0.980 14:0.916 15:0.896 16:0.891 
