0|0.512| 1:0.500  2:0.451  3:0.492  4:0.509  5:0.507  6:0.522  7:0.516  8:0.507  9:0.520 10:0.518 11:0.503 12:0.529 13:0.520 14:0.514 15:0.491 
500|0.933| 1:0.500  2:0.917  3:0.948  4:0.939  5:0.932  6:0.936  7:0.928  8:0.938  9:0.933 10:0.928 11:0.940 12:0.926 13:0.901 14:0.904 15:0.812 
1000|0.941| 1:0.500  2:0.938  3:0.961  4:0.949  5:0.932  6:0.939  7:0.941  8:0.946  9:0.935 10:0.950 11:0.946 12:0.929 13:0.910 14:0.918 15:0.830 
1500|0.942| 1:0.500  2:0.986  3:0.948  4:0.941  5:0.944  6:0.939  7:0.939  8:0.940  9:0.937 10:0.947 11:0.952 12:0.944 13:0.903 14:0.904 15:0.848 
2000|0.945| 1:0.500  2:0.965  3:0.946  4:0.948  5:0.944  6:0.948  7:0.943  8:0.946  9:0.940 10:0.949 11:0.946 12:0.933 13:0.905 14:0.932 15:0.824 
2500|0.955| 1:0.500  2:0.958  3:0.975  4:0.956  5:0.954  6:0.956  7:0.948  8:0.956  9:0.952 10:0.954 11:0.965 12:0.948 13:0.919 14:0.964 15:0.830 
3000|0.945| 1:0.500  2:0.979  3:0.931  4:0.949  5:0.941  6:0.943  7:0.947  8:0.951  9:0.940 10:0.949 11:0.950 12:0.934 13:0.923 14:0.943 15:0.867 
3500|0.952| 1:0.500  2:0.979  3:0.949  4:0.951  5:0.953  6:0.950  7:0.951  8:0.954  9:0.946 10:0.950 11:0.960 12:0.947 13:0.927 14:0.957 15:0.861 
4000|0.959| 1:0.500  2:0.972  3:0.974  4:0.961  5:0.958  6:0.965  7:0.958  8:0.957  9:0.953 10:0.962 11:0.959 12:0.957 13:0.927 14:0.925 15:0.855 
4500|0.947| 1:0.500  2:0.965  3:0.948  4:0.946  5:0.946  6:0.951  7:0.947  8:0.952  9:0.937 10:0.949 11:0.953 12:0.939 13:0.909 14:0.939 15:0.879 
5000|0.956| 1:0.500  2:0.986  3:0.969  4:0.963  5:0.952  6:0.953  7:0.959  8:0.960  9:0.949 10:0.961 11:0.958 12:0.961 13:0.917 14:0.964 15:0.885 
5500|0.959| 1:0.500  2:0.958  3:0.971  4:0.961  5:0.952  6:0.956  7:0.962  8:0.963  9:0.955 10:0.963 11:0.959 12:0.953 13:0.945 14:0.939 15:0.873 
6000|0.963| 1:0.500  2:0.986  3:0.972  4:0.963  5:0.962  6:0.968  7:0.957  8:0.964  9:0.953 10:0.960 11:0.965 12:0.966 13:0.938 14:0.950 15:0.909 
6500|0.959| 1:0.500  2:0.993  3:0.969  4:0.959  5:0.958  6:0.961  7:0.956  8:0.963  9:0.958 10:0.962 11:0.957 12:0.964 13:0.941 14:0.946 15:0.873 
7000|0.962| 1:0.500  2:1.000  3:0.971  4:0.962  5:0.959  6:0.961  7:0.961  8:0.968  9:0.955 10:0.964 11:0.968 12:0.965 13:0.943 14:0.946 15:0.915 
7500|0.959| 1:0.500  2:0.979  3:0.971  4:0.972  5:0.955  6:0.959  7:0.954  8:0.958  9:0.957 10:0.959 11:0.959 12:0.953 13:0.943 14:0.946 15:0.885 
8000|0.958| 1:0.500  2:0.951  3:0.966  4:0.960  5:0.954  6:0.966  7:0.956  8:0.958  9:0.955 10:0.962 11:0.956 12:0.954 13:0.936 14:0.968 15:0.848 
8500|0.965| 1:0.500  2:0.986  3:0.977  4:0.967  5:0.964  6:0.965  7:0.965  8:0.964  9:0.957 10:0.970 11:0.974 12:0.950 13:0.954 14:0.950 15:0.891 
9000|0.961| 1:0.500  2:0.986  3:0.963  4:0.947  5:0.967  6:0.962  7:0.962  8:0.966  9:0.956 10:0.959 11:0.969 12:0.957 13:0.941 14:0.957 15:0.879 
9500|0.957| 1:0.500  2:0.979  3:0.957  4:0.962  5:0.958  6:0.956  7:0.955  8:0.959  9:0.952 10:0.959 11:0.965 12:0.944 13:0.937 14:0.925 15:0.879 
10000|0.958| 1:0.500  2:0.965  3:0.960  4:0.953  5:0.962  6:0.958  7:0.955  8:0.961  9:0.950 10:0.961 11:0.963 12:0.944 13:0.941 14:0.954 15:0.885 
