0|0.507| 1:0.571  2:0.460  3:0.468  4:0.510  5:0.514  6:0.508  7:0.507  8:0.518  9:0.500 10:0.518 11:0.510 12:0.524 13:0.498 14:0.503 15:0.429 16:0.604 
500|0.908| 1:0.571  2:0.927  3:0.924  4:0.917  5:0.900  6:0.913  7:0.894  8:0.911  9:0.912 10:0.920 11:0.917 12:0.918 13:0.932 14:0.899 15:0.819 16:0.792 
1000|0.921| 1:0.571  2:0.960  3:0.930  4:0.929  5:0.921  6:0.918  7:0.913  8:0.918  9:0.920 10:0.924 11:0.916 12:0.932 13:0.924 14:0.906 15:0.857 16:0.792 
1500|0.935| 1:0.571  2:0.935  3:0.928  4:0.936  5:0.942  6:0.936  7:0.932  8:0.930  9:0.932 10:0.946 11:0.940 12:0.934 13:0.953 14:0.906 15:0.810 16:0.812 
2000|0.944| 1:0.571  2:0.919  3:0.946  4:0.946  5:0.945  6:0.943  7:0.943  8:0.935  9:0.949 10:0.945 11:0.944 12:0.940 13:0.965 14:0.906 15:0.867 16:0.917 
2500|0.934| 1:0.571  2:0.976  3:0.945  4:0.939  5:0.928  6:0.937  7:0.931  8:0.932  9:0.931 10:0.937 11:0.931 12:0.934 13:0.957 14:0.903 15:0.895 16:0.854 
3000|0.919| 1:0.571  2:0.968  3:0.954  4:0.924  5:0.910  6:0.918  7:0.919  8:0.911  9:0.925 10:0.930 11:0.934 12:0.917 13:0.932 14:0.893 15:0.800 16:0.854 
3500|0.932| 1:0.571  2:0.944  3:0.957  4:0.943  5:0.920  6:0.932  7:0.934  8:0.929  9:0.923 10:0.938 11:0.936 12:0.928 13:0.955 14:0.899 15:0.790 16:0.854 
4000|0.925| 1:0.571  2:0.944  3:0.930  4:0.931  5:0.933  6:0.918  7:0.918  8:0.921  9:0.932 10:0.931 11:0.919 12:0.931 13:0.953 14:0.903 15:0.867 16:0.792 
4500|0.925| 1:0.571  2:0.968  3:0.928  4:0.932  5:0.924  6:0.923  7:0.926  8:0.917  9:0.919 10:0.937 11:0.933 12:0.930 13:0.951 14:0.890 15:0.867 16:0.792 
5000|0.937| 1:0.571  2:0.935  3:0.946  4:0.935  5:0.942  6:0.932  7:0.938  8:0.935  9:0.936 10:0.944 11:0.939 12:0.938 13:0.952 14:0.916 15:0.857 16:0.875 
5500|0.926| 1:0.571  2:0.984  3:0.946  4:0.943  5:0.924  6:0.927  7:0.922  8:0.918  9:0.920 10:0.934 11:0.934 12:0.931 13:0.951 14:0.893 15:0.800 16:0.875 
6000|0.926| 1:0.571  2:0.952  3:0.951  4:0.939  5:0.924  6:0.918  7:0.924  8:0.920  9:0.927 10:0.934 11:0.932 12:0.917 13:0.943 14:0.880 15:0.790 16:0.854 
6500|0.930| 1:0.571  2:0.960  3:0.936  4:0.952  5:0.928  6:0.928  7:0.927  8:0.923  9:0.929 10:0.935 11:0.935 12:0.944 13:0.947 14:0.899 15:0.848 16:0.854 
7000|0.937| 1:0.571  2:0.960  3:0.922  4:0.946  5:0.937  6:0.936  7:0.940  8:0.932  9:0.938 10:0.951 11:0.941 12:0.937 13:0.955 14:0.899 15:0.924 16:0.875 
7500|0.937| 1:0.571  2:0.976  3:0.937  4:0.944  5:0.937  6:0.934  7:0.937  8:0.936  9:0.939 10:0.945 11:0.943 12:0.944 13:0.955 14:0.922 15:0.876 16:0.833 
8000|0.940| 1:0.571  2:0.960  3:0.959  4:0.936  5:0.943  6:0.943  7:0.932  8:0.937  9:0.944 10:0.944 11:0.946 12:0.939 13:0.956 14:0.919 15:0.914 16:0.792 
8500|0.961| 1:0.571  2:0.952  3:0.957  4:0.963  5:0.963  6:0.960  7:0.955  8:0.958  9:0.960 10:0.970 11:0.965 12:0.960 13:0.965 14:0.951 15:0.914 16:0.875 
9000|0.956| 1:0.571  2:0.976  3:0.946  4:0.959  5:0.958  6:0.956  7:0.952  8:0.955  9:0.959 10:0.962 11:0.956 12:0.952 13:0.960 14:0.942 15:0.933 16:0.833 
9500|0.938| 1:0.571  2:0.952  3:0.953  4:0.948  5:0.941  6:0.936  7:0.935  8:0.926  9:0.938 10:0.944 11:0.939 12:0.932 13:0.957 14:0.935 15:0.933 16:0.792 
10000|0.953| 1:0.571  2:0.976  3:0.954  4:0.959  5:0.950  6:0.953  7:0.954  8:0.951  9:0.952 10:0.967 11:0.955 12:0.948 13:0.960 14:0.958 15:0.943 16:0.854 
