0|0.498| 1:0.500  2:0.381  3:0.506  4:0.503  5:0.502  6:0.501  7:0.497  8:0.498  9:0.493 10:0.497 11:0.503 12:0.502 13:0.473 14:0.484 15:0.505 16:0.438 
500|0.932| 1:0.500  2:0.963  3:0.925  4:0.933  5:0.933  6:0.933  7:0.929  8:0.930  9:0.934 10:0.933 11:0.936 12:0.929 13:0.924 14:0.868 15:0.919 16:0.594 
1000|0.953| 1:0.500  2:0.978  3:0.958  4:0.952  5:0.951  6:0.951  7:0.950  8:0.950  9:0.953 10:0.953 11:0.957 12:0.961 13:0.952 14:0.884 15:0.919 16:0.812 
1500|0.958| 1:0.500  2:0.940  3:0.963  4:0.939  5:0.960  6:0.962  7:0.955  8:0.956  9:0.960 10:0.957 11:0.967 12:0.964 13:0.953 14:0.913 15:0.933 16:0.781 
2000|0.964| 1:0.500  2:0.978  3:0.965  4:0.955  5:0.966  6:0.965  7:0.966  8:0.958  9:0.964 10:0.959 11:0.974 12:0.968 13:0.960 14:0.897 15:0.910 16:0.812 
2500|0.956| 1:0.500  2:0.970  3:0.965  4:0.946  5:0.959  6:0.955  7:0.953  8:0.958  9:0.960 10:0.947 11:0.966 12:0.967 13:0.945 14:0.897 15:0.900 16:0.781 
3000|0.957| 1:0.500  2:0.963  3:0.968  4:0.964  5:0.953  6:0.953  7:0.959  8:0.955  9:0.957 10:0.943 11:0.963 12:0.966 13:0.958 14:0.873 15:0.919 16:0.781 
3500|0.961| 1:0.500  2:0.955  3:0.974  4:0.956  5:0.958  6:0.962  7:0.961  8:0.962  9:0.963 10:0.954 11:0.965 12:0.975 13:0.962 14:0.892 15:0.914 16:0.781 
4000|0.962| 1:0.500  2:0.978  3:0.967  4:0.960  5:0.957  6:0.964  7:0.962  8:0.960  9:0.959 10:0.958 11:0.972 12:0.977 13:0.958 14:0.865 15:0.919 16:0.781 
4500|0.963| 1:0.500  2:0.993  3:0.963  4:0.952  5:0.964  6:0.965  7:0.961  8:0.962  9:0.969 10:0.966 11:0.966 12:0.979 13:0.970 14:0.886 15:0.910 16:0.781 
5000|0.965| 1:0.500  2:0.985  3:0.967  4:0.959  5:0.961  6:0.965  7:0.963  8:0.970  9:0.962 10:0.951 11:0.969 12:0.975 13:0.973 14:0.873 15:0.938 16:0.750 
5500|0.961| 1:0.500  2:0.970  3:0.965  4:0.950  5:0.958  6:0.963  7:0.962  8:0.959  9:0.957 10:0.957 11:0.964 12:0.971 13:0.966 14:0.889 15:0.929 16:0.844 
6000|0.963| 1:0.500  2:0.963  3:0.961  4:0.958  5:0.958  6:0.966  7:0.961  8:0.965  9:0.972 10:0.954 11:0.970 12:0.976 13:0.963 14:0.881 15:0.933 16:0.844 
6500|0.961| 1:0.500  2:0.985  3:0.967  4:0.953  5:0.969  6:0.960  7:0.959  8:0.954  9:0.964 10:0.958 11:0.960 12:0.960 13:0.973 14:0.902 15:0.910 16:0.875 
7000|0.961| 1:0.500  2:0.948  3:0.963  4:0.957  5:0.960  6:0.960  7:0.961  8:0.962  9:0.970 10:0.955 11:0.963 12:0.968 13:0.963 14:0.886 15:0.924 16:0.906 
7500|0.954| 1:0.500  2:0.955  3:0.961  4:0.934  5:0.957  6:0.957  7:0.953  8:0.953  9:0.954 10:0.955 11:0.958 12:0.966 13:0.970 14:0.865 15:0.933 16:0.812 
8000|0.965| 1:0.500  2:0.985  3:0.971  4:0.961  5:0.964  6:0.968  7:0.958  8:0.964  9:0.968 10:0.966 11:0.961 12:0.973 13:0.971 14:0.878 15:0.924 16:0.812 
8500|0.962| 1:0.500  2:1.000  3:0.964  4:0.954  5:0.960  6:0.963  7:0.963  8:0.960  9:0.961 10:0.954 11:0.966 12:0.978 13:0.973 14:0.860 15:0.905 16:0.875 
9000|0.966| 1:0.500  2:0.955  3:0.978  4:0.958  5:0.962  6:0.967  7:0.965  8:0.965  9:0.967 10:0.962 11:0.968 12:0.980 13:0.967 14:0.902 15:0.933 16:0.812 
9500|0.966| 1:0.500  2:0.963  3:0.972  4:0.965  5:0.961  6:0.965  7:0.964  8:0.966  9:0.972 10:0.958 11:0.975 12:0.976 13:0.975 14:0.923 15:0.929 16:0.906 
10000|0.962| 1:0.500  2:0.978  3:0.969  4:0.950  5:0.965  6:0.965  7:0.957  8:0.957  9:0.966 10:0.963 11:0.973 12:0.971 13:0.970 14:0.876 15:0.938 16:0.906 
