0|0.498| 1:0.583  2:0.500  3:0.506  4:0.494  5:0.499  6:0.498  7:0.487  8:0.484  9:0.491 10:0.482 11:0.494 12:0.493 13:0.478 14:0.517 15:0.455 16:0.438 17:0.529 
500|0.922| 1:0.583  2:0.896  3:0.919  4:0.927  5:0.928  6:0.913  7:0.920  8:0.917  9:0.919 10:0.926 11:0.924 12:0.924 13:0.912 14:0.924 15:0.812 16:0.844 17:0.471 
1000|0.945| 1:0.583  2:0.963  3:0.933  4:0.953  5:0.950  6:0.939  7:0.946  8:0.940  9:0.946 10:0.949 11:0.952 12:0.962 13:0.936 14:0.936 15:0.879 16:0.865 17:0.706 
1500|0.929| 1:0.583  2:0.918  3:0.930  4:0.945  5:0.927  6:0.926  7:0.928  8:0.929  9:0.935 10:0.929 11:0.932 12:0.938 13:0.934 14:0.948 15:0.800 16:0.865 17:0.588 
2000|0.944| 1:0.583  2:0.918  3:0.942  4:0.944  5:0.950  6:0.948  7:0.942  8:0.942  9:0.939 10:0.944 11:0.947 12:0.947 13:0.948 14:0.933 15:0.885 16:0.833 17:0.588 
2500|0.959| 1:0.583  2:0.896  3:0.964  4:0.959  5:0.963  6:0.957  7:0.960  8:0.958  9:0.958 10:0.961 11:0.952 12:0.970 13:0.961 14:0.940 15:0.879 16:0.844 17:0.706 
3000|0.946| 1:0.583  2:0.940  3:0.944  4:0.942  5:0.947  6:0.940  7:0.949  8:0.948  9:0.935 10:0.948 11:0.952 12:0.955 13:0.956 14:0.957 15:0.891 16:0.823 17:0.647 
3500|0.951| 1:0.583  2:0.940  3:0.952  4:0.957  5:0.955  6:0.953  7:0.944  8:0.953  9:0.943 10:0.953 11:0.956 12:0.955 13:0.948 14:0.945 15:0.867 16:0.906 17:0.588 
4000|0.961| 1:0.583  2:0.963  3:0.960  4:0.957  5:0.960  6:0.963  7:0.962  8:0.964  9:0.952 10:0.963 11:0.967 12:0.967 13:0.960 14:0.967 15:0.885 16:0.938 17:0.647 
4500|0.971| 1:0.583  2:0.948  3:0.968  4:0.968  5:0.976  6:0.971  7:0.974  8:0.970  9:0.968 10:0.968 11:0.978 12:0.978 13:0.965 14:0.964 15:0.945 16:0.917 17:0.765 
5000|0.969| 1:0.583  2:0.955  3:0.967  4:0.976  5:0.969  6:0.968  7:0.969  8:0.968  9:0.968 10:0.967 11:0.973 12:0.975 13:0.975 14:0.955 15:0.903 16:0.938 17:0.588 
5500|0.972| 1:0.583  2:0.948  3:0.975  4:0.972  5:0.976  6:0.974  7:0.969  8:0.973  9:0.970 10:0.976 11:0.973 12:0.974 13:0.963 14:0.969 15:0.915 16:0.958 17:0.647 
6000|0.961| 1:0.583  2:0.940  3:0.968  4:0.963  5:0.965  6:0.965  7:0.961  8:0.958  9:0.955 10:0.965 11:0.968 12:0.971 13:0.958 14:0.979 15:0.909 16:0.927 17:0.706 
6500|0.964| 1:0.583  2:0.948  3:0.966  4:0.965  5:0.964  6:0.956  7:0.965  8:0.969  9:0.960 10:0.962 11:0.968 12:0.966 13:0.966 14:0.962 15:0.897 16:0.917 17:0.588 
7000|0.975| 1:0.583  2:0.955  3:0.979  4:0.978  5:0.979  6:0.975  7:0.975  8:0.977  9:0.976 10:0.974 11:0.978 12:0.985 13:0.971 14:0.957 15:0.970 16:0.917 17:0.882 
7500|0.956| 1:0.583  2:0.940  3:0.963  4:0.967  5:0.957  6:0.955  7:0.953  8:0.955  9:0.948 10:0.957 11:0.958 12:0.976 13:0.963 14:0.955 15:0.897 16:0.938 17:0.765 
8000|0.965| 1:0.583  2:0.970  3:0.968  4:0.961  5:0.964  6:0.966  7:0.965  8:0.969  9:0.962 10:0.964 11:0.963 12:0.975 13:0.967 14:0.957 15:0.915 16:0.917 17:0.588 
8500|0.966| 1:0.583  2:0.963  3:0.960  4:0.970  5:0.967  6:0.963  7:0.962  8:0.970  9:0.968 10:0.971 11:0.978 12:0.975 13:0.966 14:0.967 15:0.933 16:0.938 17:0.647 
9000|0.956| 1:0.583  2:0.940  3:0.962  4:0.950  5:0.964  6:0.956  7:0.958  8:0.956  9:0.951 10:0.963 11:0.955 12:0.963 13:0.952 14:0.964 15:0.885 16:0.927 17:0.647 
9500|0.967| 1:0.583  2:0.948  3:0.967  4:0.972  5:0.971  6:0.967  7:0.969  8:0.965  9:0.967 10:0.966 11:0.971 12:0.974 13:0.967 14:0.964 15:0.891 16:0.927 17:0.647 
10000|0.964| 1:0.583  2:0.963  3:0.957  4:0.971  5:0.966  6:0.966  7:0.961  8:0.966  9:0.962 10:0.968 11:0.970 12:0.968 13:0.962 14:0.969 15:0.927 16:0.906 17:0.647 
