00000 0.499
00500 0.827
01000 0.874
01500 0.852
02000 0.891
02500 0.901
03000 0.909
03500 0.914
04000 0.899
04500 0.909
05000 0.882
05500 0.900
06000 0.880
06500 0.904
07000 0.887
07500 0.892
08000 0.895
08500 0.923
09000 0.903
09500 0.887
10000 0.896
00000 0.507
00500 0.837
01000 0.843
01500 0.836
02000 0.850
02500 0.865
03000 0.890
03500 0.904
04000 0.890
04500 0.907
05000 0.892
05500 0.909
06000 0.883
06500 0.877
07000 0.888
07500 0.845
08000 0.878
08500 0.896
09000 0.884
09500 0.902
10000 0.909
