00000 0.495
00500 0.857
01000 0.996
01500 0.996
02000 0.997
02500 0.999
03000 0.998
03500 0.996
04000 0.996
04500 0.997
05000 0.995
05500 0.998
06000 0.998
06500 0.998
07000 1.000
07500 1.000
08000 1.000
08500 1.000
09000 1.000
09500 1.000
10000 1.000
00000 0.500
00500 0.919
01000 0.996
01500 0.999
02000 0.996
02500 0.997
03000 0.997
03500 0.997
04000 0.992
04500 0.997
05000 0.997
05500 0.997
06000 0.994
06500 0.998
07000 0.997
07500 0.996
08000 0.997
08500 0.997
09000 0.998
09500 0.999
10000 0.999
