10000 0.089
10000 0.082
10000 0.084
10000 0.062
10000 0.065
10000 0.074
10000 0.085
10000 0.071
10000 0.068
10000 0.065
10000 0.078
10000 0.078
10000 0.076
10000 0.071
10000 0.076
10000 0.072
10000 0.080
10000 0.079
10000 0.056
10000 0.079
10000 0.103
10000 0.081
10000 0.074
10000 0.071
10000 0.075
10000 0.056
10000 0.079
10000 0.078
10000 0.089
10000 0.087
10000 0.088
10000 0.084
10000 0.075
10000 0.070
10000 0.083
10000 0.082
10000 0.094
10000 0.089
10000 0.071
10000 0.075
10000 0.073
10000 0.081
10000 0.088
10000 0.081
10000 0.062
10000 0.059
10000 0.063
10000 0.071
10000 0.071
10000 0.064
10000 0.075
10000 0.095
10000 0.082
10000 0.079
10000 0.072
10000 0.078
10000 0.073
10000 0.076
10000 0.073
10000 0.072
10000 0.075
10000 0.082
10000 0.077
10000 0.071
10000 0.065
10000 0.069
10000 0.085
10000 0.088
10000 0.113
10000 0.079
10000 0.067
10000 0.081
10000 0.071
10000 0.064
10000 0.091
10000 0.086
10000 0.093
10000 0.107
10000 0.079
10000 0.069
10000 0.084
10000 0.087
10000 0.082
10000 0.078
10000 0.080
10000 0.081
10000 0.073
10000 0.098
10000 0.062
10000 0.054
10000 0.068
10000 0.066
10000 0.075
10000 0.079
10000 0.070
10000 0.074
10000 0.078
10000 0.083
10000 0.056
10000 0.069
