0|1:0.4706601941747576 2:0.5073106796116504 3:0.5013592233009708 4:0.4986116504854368 5:0.4967281553398058 6:0.4982038834951455 7:0.49829126213592195 8:0.49968932038834946 9:0.49762135922330086 10:0.4986310679611651 11:0.49857281553398053 12:0.4994660194174758 13:0.5003592233009708 14:0.49155339805825243 15:0.49624271844660217 16:0.42914563106796105 17:0.20767961165048546 18:0.034786407766990296 19:0.009708737864077669 
500|1:0.4706601941747576 2:0.9137864077669899 3:0.921747572815534 4:0.9198737864077675 5:0.9213786407766992 6:0.9208349514563106 7:0.9222621359223304 8:0.9220970873786408 9:0.9255825242718446 10:0.9278834951456308 11:0.9302233009708742 12:0.9331553398058254 13:0.9263689320388347 14:0.9086019417475729 15:0.8806601941747573 16:0.7594271844660193 17:0.33989320388349514 18:0.047456310679611646 19:0.019417475728155338 
1000|1:0.4706601941747576 2:0.9282233009708734 3:0.9324077669902909 4:0.932446601941747 5:0.932766990291262 6:0.9327087378640778 7:0.9340097087378639 8:0.9342524271844658 9:0.9367184466019415 10:0.939145631067961 11:0.9405825242718446 12:0.9421359223300971 13:0.9393106796116505 14:0.9238834951456306 15:0.8984271844660194 16:0.7710679611650483 17:0.3491747572815535 18:0.04935922330097087 19:0.019417475728155338 
1500|1:0.4706601941747576 2:0.9317378640776702 3:0.9359223300970876 4:0.9366504854368933 5:0.9377281553398058 6:0.9385533980582521 7:0.9385533980582523 8:0.9400388349514561 9:0.941242718446602 10:0.9432621359223298 11:0.9463398058252425 12:0.9475728155339801 13:0.9436601941747575 14:0.9311067961165048 15:0.9048737864077671 16:0.7764757281553397 17:0.3505922330097087 18:0.0477378640776699 19:0.019417475728155338 
2000|1:0.4706601941747576 2:0.9380582524271843 3:0.9405631067961165 4:0.9406990291262137 5:0.9421067961165048 6:0.9419514563106792 7:0.9424466019417472 8:0.943504854368932 9:0.9446796116504851 10:0.9466990291262136 11:0.9501650485436888 12:0.9513883495145626 13:0.9463689320388344 14:0.9329320388349519 15:0.9086504854368928 16:0.7815631067961164 17:0.35410679611650475 18:0.05017475728155339 19:0.019417475728155338 
2500|1:0.4706601941747576 2:0.939650485436893 3:0.9425631067961162 4:0.9412621359223294 5:0.9429999999999994 6:0.9435048543689318 7:0.9434660194174755 8:0.9445242718446598 9:0.9464563106796112 10:0.9485436893203882 11:0.9502135922330097 12:0.951330097087378 13:0.9482912621359221 14:0.9356310679611649 15:0.9126796116504854 16:0.7776699029126208 17:0.35513592233009694 18:0.051242718446601936 19:0.019417475728155338 
3000|1:0.4706601941747576 2:0.9407766990291258 3:0.9430485436893203 4:0.9431844660194173 5:0.9440097087378638 6:0.944660194174758 7:0.9448932038834944 8:0.9454951456310672 9:0.9468446601941746 10:0.9489805825242719 11:0.9514660194174753 12:0.9538543689320385 13:0.9487378640776698 14:0.9370485436893203 15:0.9140291262135922 16:0.7764854368932038 17:0.3570873786407768 18:0.045038834951456316 19:0.018398058252427185 
3500|1:0.4706601941747576 2:0.9413883495145632 3:0.944669902912621 4:0.944223300970874 5:0.9455533980582522 6:0.9451747572815538 7:0.9457184466019419 8:0.9468737864077666 9:0.9486504854368928 10:0.9501456310679608 11:0.9523009708737858 12:0.9540679611650482 13:0.9506504854368932 14:0.9404854368932031 15:0.9160582524271842 16:0.7811747572815534 17:0.35458252427184467 18:0.04800970873786408 19:0.019417475728155338 
4000|1:0.4706601941747576 2:0.9459514563106796 3:0.9508349514563106 4:0.9489514563106791 5:0.9488349514563105 6:0.9495825242718439 7:0.9509320388349511 8:0.9505145631067954 9:0.9528834951456304 10:0.9539417475728157 11:0.9570194174757275 12:0.9584951456310677 13:0.9551747572815524 14:0.9415922330097084 15:0.9165922330097087 16:0.7840388349514562 17:0.3611941747572816 18:0.05178640776699029 19:0.019417475728155338 
4500|1:0.4706601941747576 2:0.9396796116504854 3:0.9446796116504852 4:0.9477766990291263 5:0.9482621359223297 6:0.9479029126213591 7:0.9486310679611644 8:0.9494563106796111 9:0.9511650485436888 10:0.9530097087378636 11:0.954932038834951 12:0.9556504854368927 13:0.9541456310679611 14:0.9418834951456309 15:0.9209805825242716 16:0.7885922330097086 17:0.35890291262135915 18:0.047999999999999994 19:0.019417475728155338 
5000|1:0.4706601941747576 2:0.9494174757281549 3:0.9502912621359222 4:0.9506796116504851 5:0.9511747572815533 6:0.9511747572815532 7:0.9513106796116506 8:0.9517864077669901 9:0.9544660194174757 10:0.9550485436893199 11:0.9572621359223291 12:0.9579611650485431 13:0.956145631067961 14:0.9453786407766985 15:0.9216796116504855 16:0.7922233009708736 17:0.35609708737864076 18:0.04854368932038835 19:0.018902912621359225 
