0|1:0.4983831775700935 2:0.5002523364485981 3:0.49924299065420596 4:0.4994392523364487 5:0.5012429906542057 6:0.49902803738317736 7:0.4997196261682241 8:0.5003457943925234 9:0.5009065420560749 10:0.49944859813084114 11:0.5006822429906544 12:0.498093457943925 13:0.4969719626168225 14:0.5016261682242992 15:0.4991121495327104 16:0.4620186915887848 18:0.0686355140186916 17:0.243018691588785 19:0.009841121495327102 
500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
1000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
1500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
2000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
2500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
3000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
3500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
4000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
4500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
5000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
5500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
6000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
6500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
7000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
7500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
8000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
8500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
9000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
9500|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
10000|1:0.4983831775700935 2:0.0010093457943925234 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 18:0.0 17:0.0 19:0.0 
