58|1:0.5147679999999999 2:0.024497999999999968 3:0.03125599999999998 4:0.034959999999999984 5:0.03621999999999995 6:0.03696199999999997 7:0.037191999999999996 8:0.03746799999999996 9:0.03792399999999992 10:0.039487999999999995 11:0.04176999999999999 12:0.04706799999999995 13:0.05833399999999997 14:0.077164 15:0.09651400000000016 16:0.11037599999999985 17:0.07142200000000004 18:0.012585999999999996 20:0.0021000000000000003 19:0.002 
60|1:0.5147679999999999 2:0.024553999999999954 3:0.03159599999999999 4:0.035175999999999985 5:0.03639199999999997 6:0.03709399999999997 7:0.03726799999999998 8:0.03762999999999995 9:0.03824 10:0.039859999999999944 11:0.04204799999999997 12:0.04721399999999999 13:0.05877599999999998 14:0.07810000000000002 15:0.0963360000000001 16:0.1111339999999999 17:0.07101400000000001 18:0.011913999999999994 20:0.002 19:0.002104 
62|1:0.5147679999999999 2:0.02405599999999995 3:0.031746 4:0.035457999999999955 5:0.03645399999999997 6:0.037093999999999946 7:0.03750199999999997 8:0.03791199999999998 9:0.038334 10:0.039979999999999946 11:0.042193999999999995 12:0.047181999999999995 13:0.05874000000000003 14:0.07826799999999999 15:0.09810000000000009 16:0.11236999999999993 17:0.07225599999999999 18:0.012173999999999997 20:0.002 19:0.002104 
64|1:0.5147679999999999 2:0.024497999999999954 3:0.032139999999999974 4:0.035702 5:0.036877999999999966 6:0.03730399999999998 7:0.037853999999999936 8:0.03808599999999996 9:0.03864799999999998 10:0.04018000000000001 11:0.042395999999999996 12:0.047570000000000036 13:0.05881400000000005 14:0.07893599999999999 15:0.09759600000000021 16:0.11391199999999993 17:0.072512 18:0.012487999999999997 20:0.002 19:0.002104 
66|1:0.5147679999999999 2:0.024209999999999954 3:0.031893999999999985 4:0.03542599999999999 5:0.036919999999999974 6:0.03731199999999998 7:0.03776999999999995 8:0.038035999999999966 9:0.03857599999999997 10:0.04000400000000001 11:0.042277999999999955 12:0.047321999999999996 13:0.05886200000000004 14:0.07909400000000005 15:0.09733000000000006 16:0.11363200000000001 17:0.07336000000000001 18:0.012551999999999997 20:0.002 19:0.00221 
68|1:0.5147679999999999 2:0.024909999999999953 3:0.03257199999999999 4:0.03575799999999995 5:0.037101999999999954 6:0.037729999999999986 7:0.03804999999999996 8:0.03842199999999995 9:0.03895399999999999 10:0.040379999999999985 11:0.04275 12:0.047335999999999955 13:0.05942800000000005 14:0.080234 15:0.09870800000000017 16:0.11480999999999993 17:0.07314399999999996 18:0.012915999999999995 20:0.002 19:0.00221 
70|1:0.5147679999999999 2:0.02503799999999995 3:0.03288999999999998 4:0.03615799999999996 5:0.037325999999999984 6:0.03802399999999995 7:0.03839399999999992 8:0.038691999999999935 9:0.039186000000000006 10:0.04070599999999998 11:0.043098000000000004 12:0.04798399999999999 13:0.05952000000000005 14:0.080458 15:0.09905800000000016 16:0.11601799999999987 17:0.07195800000000002 18:0.013197999999999998 20:0.002 19:0.002316 
72|1:0.5147679999999999 2:0.024819999999999943 3:0.03287999999999999 4:0.03638199999999996 5:0.03742199999999995 6:0.03807399999999998 7:0.038531999999999976 8:0.03867599999999996 9:0.03968599999999996 10:0.040885999999999964 11:0.04338999999999996 12:0.04823599999999999 13:0.05972200000000006 14:0.08073000000000005 15:0.09945400000000006 16:0.11678199999999993 17:0.07111400000000002 18:0.012899999999999997 20:0.002 19:0.00221 
74|1:0.5147679999999999 2:0.024625999999999967 3:0.03285800000000001 4:0.036581999999999955 5:0.03765399999999994 6:0.03822599999999994 7:0.038650000000000004 8:0.038949999999999985 9:0.039505999999999965 10:0.04092399999999997 11:0.04357399999999997 12:0.04860799999999997 13:0.05986800000000001 14:0.08133999999999995 15:0.09928000000000008 16:0.11575799999999992 17:0.07190000000000002 18:0.012603999999999997 20:0.002 19:0.00221 
76|1:0.5147679999999999 2:0.024953999999999952 3:0.03281799999999998 4:0.036601999999999996 5:0.03741999999999998 6:0.038493999999999993 7:0.03879799999999999 8:0.03899599999999998 9:0.039591999999999974 10:0.04099599999999995 11:0.04364000000000003 12:0.048549999999999996 13:0.06057600000000006 14:0.08155000000000012 15:0.09913400000000003 16:0.1158079999999999 17:0.07203000000000001 18:0.013177999999999999 20:0.002 19:0.002104 
78|1:0.5147679999999999 2:0.025235999999999925 3:0.032959999999999996 4:0.03686000000000001 5:0.037679999999999984 6:0.038413999999999976 7:0.03900999999999997 8:0.03925800000000001 9:0.039825999999999966 10:0.04111799999999998 11:0.044093999999999973 12:0.04858199999999997 13:0.06083800000000005 14:0.08177200000000011 15:0.09874000000000006 16:0.11760799999999987 17:0.07320799999999995 18:0.012767999999999998 20:0.002 19:0.002104 
80|1:0.5147679999999999 2:0.025579999999999953 3:0.03321199999999998 4:0.037071999999999994 5:0.03790599999999998 6:0.03877599999999994 7:0.039380000000000005 8:0.039523999999999976 9:0.04009799999999998 10:0.041513999999999954 11:0.04424799999999999 12:0.049062 13:0.061512 14:0.08269800000000009 15:0.0997760000000001 16:0.11799599999999985 17:0.07444200000000001 18:0.012847999999999998 20:0.0021000000000000003 19:0.00221 
82|1:0.5147679999999999 2:0.025303999999999945 3:0.033222000000000015 4:0.037135999999999975 5:0.03821399999999998 6:0.03888599999999999 7:0.03944999999999999 8:0.03961199999999998 9:0.040192 10:0.041469999999999965 11:0.04436199999999997 12:0.049385999999999985 13:0.061562000000000026 14:0.08251000000000004 15:0.10038000000000023 16:0.11787399999999987 17:0.07262999999999999 18:0.013323999999999999 20:0.002 19:0.002316 
84|1:0.5147679999999999 2:0.025307999999999935 3:0.03362 4:0.03718399999999998 5:0.038464 6:0.03914799999999998 7:0.03960599999999998 8:0.03990199999999997 9:0.04043599999999995 10:0.04164999999999999 11:0.044467999999999966 12:0.049707999999999974 13:0.06116599999999997 14:0.08306800000000002 15:0.1011540000000001 16:0.11711799999999994 17:0.07321199999999999 18:0.013397999999999998 20:0.002 19:0.00221 
86|1:0.5147679999999999 2:0.02560799999999996 3:0.03398399999999998 4:0.03774399999999997 5:0.038559999999999976 6:0.039358000000000025 7:0.03987599999999999 8:0.040034 9:0.040597999999999995 10:0.041929999999999995 11:0.04463599999999998 12:0.04942199999999995 13:0.06171999999999996 14:0.08340600000000002 15:0.10088400000000017 16:0.11724199999999992 17:0.07293799999999996 18:0.013435999999999998 20:0.002 19:0.002316 
88|1:0.5147679999999999 2:0.025915999999999953 3:0.033708 4:0.03817399999999998 5:0.03893999999999999 6:0.03965199999999999 7:0.040116000000000006 8:0.04046599999999994 9:0.040953999999999956 10:0.04234999999999994 11:0.044868 12:0.049957999999999954 13:0.062410000000000014 14:0.0835680000000001 15:0.10132800000000007 16:0.11827999999999984 17:0.07412200000000001 18:0.013749999999999995 20:0.002 19:0.00221 
90|1:0.5147679999999999 2:0.02604199999999995 3:0.033566 4:0.03818399999999998 5:0.03901199999999998 6:0.03969799999999999 7:0.04028999999999998 8:0.04031600000000001 9:0.04104599999999997 10:0.042434000000000006 11:0.04486399999999994 12:0.05004399999999999 13:0.062270000000000006 14:0.08364600000000004 15:0.1016960000000001 16:0.1194419999999999 17:0.07350600000000003 18:0.013545999999999997 20:0.002 19:0.002316 
92|1:0.5147679999999999 2:0.026259999999999947 3:0.03383999999999995 4:0.03791599999999998 5:0.03898399999999998 6:0.03989400000000002 7:0.040325999999999994 8:0.04053199999999998 9:0.04134399999999998 10:0.042777999999999976 11:0.04508799999999995 12:0.05017000000000001 13:0.062467999999999954 14:0.08415800000000005 15:0.10218400000000011 16:0.12097799999999992 17:0.07459800000000003 18:0.012693999999999997 20:0.0021000000000000003 19:0.00221 
94|1:0.5147679999999999 2:0.025527999999999967 3:0.03447599999999999 4:0.03818599999999995 5:0.03940599999999996 6:0.04014399999999998 7:0.04059800000000002 8:0.04077600000000003 9:0.041460000000000025 10:0.04301599999999998 11:0.04550399999999994 12:0.05049399999999999 13:0.06288799999999999 14:0.08439800000000003 15:0.1020180000000001 16:0.1194939999999999 17:0.075296 18:0.013251999999999996 20:0.002 19:0.002422 
96|1:0.5147679999999999 2:0.025699999999999952 3:0.03479399999999998 4:0.038652 5:0.03981200000000002 6:0.040332 7:0.04087599999999999 8:0.04124600000000001 9:0.04195199999999999 10:0.04337799999999998 11:0.04597999999999998 12:0.051015999999999985 13:0.06377999999999998 14:0.08476800000000007 15:0.10351800000000012 16:0.11982599999999989 17:0.07551400000000004 18:0.013603999999999998 20:0.002 19:0.002422 
98|1:0.5147679999999999 2:0.026549999999999945 3:0.035104 4:0.03911599999999994 5:0.04017 6:0.040781999999999936 7:0.04141799999999995 8:0.04181399999999996 9:0.04229599999999999 10:0.04356799999999993 11:0.046587999999999984 12:0.05147999999999994 13:0.06409000000000002 14:0.0852420000000001 15:0.10469600000000008 16:0.1195319999999999 17:0.07605800000000007 18:0.013399999999999995 20:0.002 19:0.00221 
100|1:0.5147679999999999 2:0.02603599999999997 3:0.03547599999999998 4:0.03929400000000004 5:0.04021799999999993 6:0.040945999999999975 7:0.04168199999999995 8:0.041785999999999976 9:0.04243399999999998 10:0.04387399999999997 11:0.046203999999999905 12:0.05147800000000005 13:0.06446799999999996 14:0.08552400000000007 15:0.10426400000000001 16:0.12019399999999988 17:0.07665799999999996 18:0.013583999999999995 20:0.002 19:0.002106 
102|1:0.5147679999999999 2:0.026799999999999956 3:0.03574399999999997 4:0.03971999999999997 5:0.04017000000000002 6:0.041205999999999944 7:0.04171199999999993 8:0.04186799999999996 9:0.042521999999999956 10:0.044273999999999925 11:0.04673200000000003 12:0.05168199999999997 13:0.065288 14:0.08583199999999999 15:0.10506200000000014 16:0.12065399999999993 17:0.077232 18:0.013625999999999996 20:0.002 19:0.00221 
104|1:0.5147679999999999 2:0.02676599999999995 3:0.035715999999999956 4:0.03941599999999994 5:0.040444000000000015 6:0.04125999999999994 7:0.041857999999999965 8:0.04204599999999997 9:0.04277799999999996 10:0.044317999999999975 11:0.046764000000000014 12:0.05172199999999992 13:0.06487999999999997 14:0.08643 15:0.1055340000000001 16:0.1215639999999999 17:0.07740000000000002 18:0.013679999999999998 20:0.002 19:0.002106 
106|1:0.5147679999999999 2:0.027069999999999955 3:0.03575400000000001 4:0.03972599999999996 5:0.04077999999999994 6:0.041453999999999984 7:0.042070000000000024 8:0.042329999999999986 9:0.04308199999999999 10:0.04441399999999997 11:0.047053999999999964 12:0.05212999999999998 13:0.06503600000000005 14:0.08641600000000003 15:0.10642200000000016 16:0.12227399999999987 17:0.07768400000000003 18:0.013471999999999996 20:0.002 19:0.002106 
108|1:0.5147679999999999 2:0.026669999999999954 3:0.036194 4:0.03991799999999999 5:0.04087799999999998 6:0.04153399999999999 7:0.04223199999999997 8:0.04244200000000001 9:0.043040000000000016 10:0.04475200000000002 11:0.047206 12:0.05258599999999991 13:0.065198 14:0.08620600000000017 15:0.10642400000000005 16:0.12306599999999984 17:0.07765199999999998 18:0.013828 20:0.0021000000000000003 19:0.00221 
110|1:0.5147679999999999 2:0.02679799999999996 3:0.03680399999999999 4:0.04018999999999998 5:0.041203999999999956 6:0.04188399999999995 7:0.04257000000000004 8:0.042802 9:0.04358999999999995 10:0.04515399999999997 11:0.047436000000000006 12:0.052958000000000026 13:0.06609999999999999 14:0.08697199999999995 15:0.10634400000000009 16:0.12227599999999991 17:0.07844800000000006 18:0.013453999999999997 20:0.002 19:0.002106 
112|1:0.5147679999999999 2:0.02682399999999996 3:0.03664199999999999 4:0.04042399999999998 5:0.04138599999999997 6:0.042064000000000004 7:0.042713999999999946 8:0.04302399999999999 9:0.04375999999999992 10:0.04550199999999995 11:0.04755800000000002 12:0.053289999999999976 13:0.065872 14:0.08750800000000014 15:0.10676600000000017 16:0.1228139999999999 17:0.07937600000000009 18:0.013563999999999998 20:0.002 19:0.00221 
114|1:0.5147679999999999 2:0.026687999999999965 3:0.03731200000000001 4:0.04064799999999997 5:0.04165599999999994 6:0.04235599999999998 7:0.04306600000000001 8:0.04322000000000001 9:0.043866 10:0.045587999999999976 11:0.04783399999999996 12:0.05344200000000002 13:0.06629400000000002 14:0.08767600000000009 15:0.10706400000000019 16:0.12301999999999991 17:0.078988 18:0.013973999999999997 20:0.002 19:0.00221 
